"Alternativa","arvore","dap","ht","secao","dcc"
"Alternativa 1",1,12.5732405,17.92,0.1,14.29211389
"Alternativa 1",1,12.5732405,17.92,0.3,13.4326772
"Alternativa 1",1,12.5732405,17.92,0.7,13.08253632
"Alternativa 1",1,12.5732405,17.92,1.3,12.5732405
"Alternativa 1",1,12.5732405,17.92,2.3,11.93662073
"Alternativa 1",1,12.5732405,17.92,3.3,11.61831085
"Alternativa 1",1,12.5732405,17.92,4.3,11.07718404
"Alternativa 1",1,12.5732405,17.92,5.3,10.82253613
"Alternativa 1",1,12.5732405,17.92,6.3,10.02676141
"Alternativa 1",1,12.5732405,17.92,7.3,9.421972631
"Alternativa 1",1,12.5732405,17.92,8.3,9.199155711
"Alternativa 1",1,12.5732405,17.92,9.3,8.467042972
"Alternativa 1",1,12.5732405,17.92,10.3,7.703099246
"Alternativa 1",1,12.5732405,17.92,11.3,7.161972439
"Alternativa 1",1,12.5732405,17.92,12.3,6.68450761
"Alternativa 1",1,12.5732405,17.92,13.3,5.602253997
"Alternativa 1",1,12.5732405,17.92,14.3,5.156620156
"Alternativa 1",1,12.5732405,17.92,15.3,3.628732702
"Alternativa 1",1,12.5732405,17.92,16.3,2.960281942
"Alternativa 1",1,12.5732405,17.92,17.3,1.909859317
"Alternativa 1",2,20.05352283,28.9,0.1,23.23662169
"Alternativa 1",2,20.05352283,28.9,0.3,21.00845249
"Alternativa 1",2,20.05352283,28.9,0.7,20.94479051
"Alternativa 1",2,20.05352283,28.9,1.3,20.05352283
"Alternativa 1",2,20.05352283,28.9,2.3,19.576058
"Alternativa 1",2,20.05352283,28.9,3.3,18.93943823
"Alternativa 1",2,20.05352283,28.9,4.3,18.84394526
"Alternativa 1",2,20.05352283,28.9,5.3,18.30281846
"Alternativa 1",2,20.05352283,28.9,6.3,18.14366351
"Alternativa 1",2,20.05352283,28.9,7.3,17.31605781
"Alternativa 1",2,20.05352283,28.9,8.3,16.99774792
"Alternativa 1",2,20.05352283,28.9,9.3,16.07464925
"Alternativa 1",2,20.05352283,28.9,10.3,15.75633937
"Alternativa 1",2,20.05352283,28.9,11.3,14.73774773
"Alternativa 1",2,20.05352283,28.9,12.3,14.32394488
"Alternativa 1",2,20.05352283,28.9,13.3,14.22845191
"Alternativa 1",2,20.05352283,28.9,14.3,13.36901522
"Alternativa 1",2,20.05352283,28.9,15.3,12.54140952
"Alternativa 1",2,20.05352283,28.9,16.3,12.35042358
"Alternativa 1",2,20.05352283,28.9,17.3,11.58647986
"Alternativa 1",2,20.05352283,28.9,18.3,10.82253613
"Alternativa 1",2,20.05352283,28.9,19.3,9.931268449
"Alternativa 1",2,20.05352283,28.9,20.3,9.708451529
